trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
211,False,"{'a': 0.25, 'e': 0.11995712819347792}",30,19,24.141166641694532,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
212,False,"{'a': 0.25, 'e': 0.11875755691154315}",25,7,23.856846124300315,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
213,False,"{'a': 0.25, 'e': 0.11756998134242772}",20,13,13.36324938530981,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
214,False,"{'a': 0.25, 'e': 0.11639428152900344}",25,18,12.044492039885624,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
215,False,"{'a': 0.25, 'e': 0.11523033871371341}",20,5,17.809240841934418,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
216,False,"{'a': 0.25, 'e': 0.11407803532657627}",30,6,29.484047766887887,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 0}",1
217,False,"{'a': 0.25, 'e': 0.11293725497331052}",20,14,12.009735340726007,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
218,False,"{'a': 0.25, 'e': 0.1118078824235774}",25,15,20.206109828373915,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
219,False,"{'a': 0.25, 'e': 0.11068980359934164}",30,17,14.321331371639658,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
220,False,"{'a': 0.25, 'e': 0.10958290556334822}",30,17,27.565369043677666,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
221,False,"{'a': 0.25, 'e': 0.10848707650771475}",25,14,19.249876454416736,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
222,False,"{'a': 0.25, 'e': 0.1074022057426376}",20,12,15.357847452277523,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
223,False,"{'a': 0.25, 'e': 0.10632818368521123}",25,5,35.34136593880524,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
224,False,"{'a': 0.25, 'e': 0.10526490184835911}",30,15,27.25922630604569,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
225,False,"{'a': 0.25, 'e': 0.10421225282987552}",20,16,7.171257765750152,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
226,False,"{'a': 0.25, 'e': 0.10317013030157676}",25,11,26.199930994405516,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
227,False,"{'a': 0.25, 'e': 0.10213842899856099}",30,23,11.753583010709871,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
228,False,"{'a': 0.25, 'e': 0.10111704470857538}",25,9,32.65696721408711,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
229,False,"{'a': 0.25, 'e': 0.10010587426148963}",20,1,28.306726053465265,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
230,False,"{'a': 0.25, 'e': 0.09910481551887473}",20,7,26.04313359971308,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
231,False,"{'a': 0.25, 'e': 0.09811376736368599}",25,12,25.971285145600028,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
232,False,"{'a': 0.25, 'e': 0.09713262969004913}",20,0,21.94024052688055,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
233,False,"{'a': 0.25, 'e': 0.09616130339314863}",30,9,35.382790243875085,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
234,False,"{'a': 0.25, 'e': 0.09519969035921715}",20,11,15.680536926706376,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
235,False,"{'a': 0.25, 'e': 0.09424769345562498}",30,24,9.932253423508842,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
236,False,"{'a': 0.25, 'e': 0.09330521652106873}",20,13,9.319629861728988,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
237,False,"{'a': 0.25, 'e': 0.09237216435585804}",25,7,28.510830424683064,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
238,False,"{'a': 0.25, 'e': 0.09144844271229946}",20,1,28.06311927105569,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
239,False,"{'a': 0.25, 'e': 0.09053395828517646}",20,0,31.312243657510223,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
240,False,"{'a': 0.25, 'e': 0.08962861870232469}",20,15,11.680095570170325,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
241,False,"{'a': 0.25, 'e': 0.08873233251530144}",30,8,18.185331176564276,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 0}",1
242,False,"{'a': 0.25, 'e': 0.08784500919014843}",25,18,15.946039624576429,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
243,False,"{'a': 0.25, 'e': 0.08696655909824694}",25,14,23.194562521527182,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
244,False,"{'a': 0.25, 'e': 0.08609689350726446}",20,15,9.490107704685073,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
245,False,"{'a': 0.25, 'e': 0.08523592457219181}",25,12,26.283415991545073,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
246,False,"{'a': 0.25, 'e': 0.0843835653264699}",20,8,20.207343972076465,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
247,False,"{'a': 0.25, 'e': 0.0835397296732052}",25,14,13.466146924921821,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
248,False,"{'a': 0.25, 'e': 0.08270433237647315}",20,15,11.040468600199722,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
249,False,"{'a': 0.25, 'e': 0.08187728905270841}",20,6,23.124429408751894,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
250,False,"{'a': 0.25, 'e': 0.08105851616218133}",30,20,16.825562398958002,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
251,False,"{'a': 0.25, 'e': 0.08024793100055952}",20,3,25.61917252365821,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
252,False,"{'a': 0.25, 'e': 0.07944545169055392}",20,10,17.97270097784826,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
253,False,"{'a': 0.25, 'e': 0.07865099717364837}",25,7,-13.057798863752272,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
